iter	Passed	Remaining
455	857	1022
456	859	1021
457	860	1018
458	862	1016
459	863	1014
460	866	1012
461	867	1010
462	868	1007
463	870	1005
464	871	1003
465	873	1000
466	874	997
467	875	995
468	876	992
469	878	990
470	880	988
471	881	986
472	884	984
473	885	982
474	886	980
475	888	977
476	889	975
477	891	973
478	892	971
479	894	968
480	895	966
481	897	964
482	898	961
483	900	959
484	901	957
485	902	954
486	904	952
487	905	949
488	906	947
489	908	945
490	910	943
491	911	941
492	912	938
493	914	936
494	915	934
495	917	931
496	918	929
497	921	928
498	922	926
499	924	924
500	925	921
501	927	919
502	928	917
503	929	915
504	931	912
505	932	910
506	934	908
507	935	905
508	936	903
509	937	901
510	939	898
511	940	896
512	941	894
513	943	891
514	945	890
515	946	887
516	948	885
517	949	883
518	950	881
519	952	878
520	953	876
521	954	874
522	955	871
523	957	869
524	958	867
525	959	864
526	960	862
527	961	859
528	963	857
529	964	855
530	965	852
531	966	850
532	968	848
533	969	846
534	971	843
535	972	841
536	975	840
537	976	838
538	977	836
539	979	834
540	981	832
541	982	830
542	984	828
543	985	825
544	987	824
545	988	822
546	989	819
547	991	817
548	992	815
549	993	813
550	995	810
551	996	808
552	997	806
553	999	804
554	1000	802
555	1002	800
556	1003	798
557	1005	796
558	1006	793
559	1007	791
560	1008	789
561	1010	787
562	1011	784
563	1012	782
564	1013	780
565	1014	777
566	1015	775
567	1016	773
568	1018	771
569	1019	768
570	1020	766
571	1021	764
572	1022	762
573	1024	760
574	1025	757
575	1026	755
576	1028	753
577	1029	751
578	1031	749
579	1032	747
580	1033	745
581	1035	743
582	1036	741
583	1037	739
584	1039	737
585	1040	734
586	1041	733
587	1043	731
588	1044	728
589	1045	726
590	1046	724
591	1048	722
592	1049	720
593	1050	718
594	1052	716
595	1053	714
596	1055	712
597	1056	710
598	1057	708
599	1058	705
600	1060	704
601	1061	701
602	1062	699
603	1064	697
604	1065	695
605	1066	693
606	1067	691
607	1068	689
608	1069	686
609	1071	684
610	1072	683
611	1074	681
612	1075	679
613	1077	677
614	1079	675
615	1080	673
616	1081	671
617	1083	669
618	1085	668
619	1087	666
620	1088	664
621	1089	662
622	1091	660
623	1092	658
624	1093	656
625	1094	653
626	1095	651
627	1099	651
628	1100	649
629	1102	647
630	1104	645
631	1105	643
632	1106	641
633	1107	639
634	1108	637
635	1110	635
636	1111	633
637	1112	631
638	1113	629
639	1115	627
640	1116	625
641	1117	623
642	1118	621
643	1119	618
644	1121	617
645	1122	615
646	1124	613
647	1125	611
648	1126	609
649	1128	607
650	1129	605
651	1130	603
652	1131	601
653	1133	599
654	1134	597
655	1135	595
656	1136	593
657	1137	591
658	1139	589
659	1140	587
660	1141	585
661	1142	583
662	1143	581
663	1145	579
664	1146	577
665	1147	575
666	1149	573
667	1150	571
668	1151	569
669	1153	567
670	1154	565
671	1155	563
672	1156	562
673	1158	560
674	1159	558
675	1160	556
676	1161	554
677	1162	552
678	1164	550
679	1165	548
680	1166	546
681	1167	544
682	1169	542
683	1170	540
684	1171	538
685	1172	536
686	1174	534
687	1175	533
688	1176	531
689	1177	529
690	1179	527
691	1180	525
692	1181	523
693	1182	521
694	1184	519
695	1185	517
696	1186	515
697	1187	513
698	1189	512
699	1190	510
700	1192	508
701	1194	506
702	1196	505
703	1197	503
704	1198	501
705	1200	499
706	1201	497
707	1202	496
708	1203	494
709	1205	492
710	1206	490
711	1208	488
712	1209	486
713	1210	484
714	1212	483
715	1213	481
716	1215	479
717	1216	477
718	1217	475
719	1219	474
720	1221	472
721	1222	470
722	1223	468
723	1225	467
724	1226	465
725	1227	463
726	1228	461
727	1229	459
728	1231	457
729	1232	455
730	1234	454
731	1235	452
732	1237	450
733	1238	448
734	1239	446
735	1240	445
736	1242	443
737	1243	441
738	1244	439
739	1245	437
740	1247	435
741	1248	434
742	1249	432
743	1250	430
744	1251	428
745	1253	426
746	1254	424
747	1255	422
748	1256	421
749	1257	419
750	1258	417
751	1260	415
752	1261	413
753	1263	412
754	1264	410
755	1266	408
756	1268	407
757	1269	405
758	1270	403
759	1271	401
760	1274	400
761	1275	398
762	1276	396
763	1278	394
764	1279	393
765	1280	391
766	1282	389
767	1283	387
768	1284	385
769	1287	384
770	1288	382
771	1290	381
772	1291	379
773	1292	377
774	1293	375
775	1294	373
776	1296	371
777	1297	370
778	1298	368
779	1299	366
780	1300	364
781	1301	362
782	1303	361
783	1304	359
784	1305	357
785	1306	355
786	1308	354
787	1309	352
788	1310	350
789	1311	348
790	1313	346
791	1314	345
792	1315	343
793	1317	341
794	1318	339
795	1319	338
796	1320	336
797	1322	334
798	1323	332
799	1324	331
800	1325	329
801	1326	327
802	1327	325
803	1329	324
804	1330	322
805	1331	320
806	1332	318
807	1334	317
808	1335	315
809	1336	313
810	1337	311
811	1338	309
812	1340	308
813	1341	306
814	1342	304
815	1343	303
816	1344	301
817	1346	299
818	1347	297
819	1348	296
820	1349	294
821	1350	292
822	1352	290
823	1353	289
824	1354	287
825	1356	285
826	1357	283
827	1358	282
828	1360	280
829	1361	278
830	1362	277
831	1363	275
832	1365	273
833	1366	272
834	1367	270
835	1369	268
836	1373	267
837	1375	265
838	1376	264
839	1377	262
840	1379	260
841	1381	259
842	1383	257
843	1384	255
844	1386	254
845	1387	252
846	1388	250
847	1390	249
848	1391	247
849	1392	245
850	1393	243
851	1394	242
852	1396	240
853	1397	238
854	1398	237
855	1399	235
856	1400	233
857	1402	232
858	1403	230
859	1404	228
860	1406	227
861	1407	225
862	1408	223
863	1409	221
864	1410	220
865	1412	218
866	1413	216
867	1414	215
868	1415	213
869	1416	211
870	1418	210
871	1419	208
872	1420	206
873	1421	204
874	1422	203
875	1423	201
876	1425	199
877	1426	198
878	1427	196
879	1428	194
880	1430	193
881	1431	191
882	1433	189
883	1434	188
884	1435	186
885	1437	184
886	1438	183
887	1439	181
888	1441	179
889	1442	178
890	1443	176
891	1445	175
892	1447	173
893	1448	171
894	1449	170
895	1452	168
896	1453	166
897	1455	165
898	1456	163
899	1457	161
900	1459	160
901	1460	158
902	1462	157
903	1463	155
904	1466	153
905	1467	152
906	1468	150
907	1470	148
908	1471	147
909	1472	145
910	1474	144
911	1475	142
912	1476	140
913	1478	139
914	1479	137
915	1480	135
916	1482	134
917	1483	132
918	1484	130
919	1486	129
920	1487	127
921	1488	125
922	1489	124
923	1491	122
924	1492	120
925	1493	119
926	1495	117
927	1496	116
928	1497	114
929	1499	112
930	1500	111
931	1501	109
932	1503	107
933	1504	106
934	1505	104
935	1506	103
936	1507	101
937	1509	99
938	1510	98
939	1511	96
940	1512	94
941	1514	93
942	1515	91
943	1516	89
944	1517	88
945	1519	86
946	1520	85
947	1521	83
948	1523	81
949	1524	80
950	1525	78
951	1527	76
952	1528	75
953	1529	73
954	1530	72
955	1531	70
956	1533	68
957	1534	67
958	1535	65
959	1536	64
960	1537	62
961	1539	60
962	1540	59
963	1541	57
964	1542	55
965	1543	54
966	1544	52
967	1546	51
968	1547	49
969	1549	47
970	1550	46
971	1551	44
972	1553	43
973	1554	41
974	1555	39
975	1556	38
976	1558	36
977	1559	35
978	1560	33
979	1562	31
980	1563	30
981	1564	28
982	1565	27
983	1567	25
984	1568	23
985	1570	22
986	1571	20
987	1572	19
988	1573	17
989	1575	15
990	1576	14
991	1577	12
992	1578	11
993	1580	9
994	1581	7
995	1582	6
996	1583	4
997	1585	3
998	1586	1
999	1587	0
